Line,Infrastructure,Time
Green,Station:Pioneer,2.3
Green,Station:Edgebrook,2.3
Green,Station,2.4
Green,Station:Whited,2.7
Green,Station:SouthBank,2.6
Green,Station:Central:Underground,1.9
Green,Station:Inglewood:Underground,2.0
Green,Station:Overbrook:Underground,2.0
Green,Station:Glenbury,2.2
Green,Station:Dormont,2.5
Green,Station:MtLebanon,2.2
Green,Station:Poplar,4.4
Green,Station:CastleShannon,2.2
Green,Station:Dormont,2.3
Green,Station:Glenbury,2.4
Green,Station:Overbrook:Underground,2.1
Green,Station:Inglewood:Underground,2.0
Green,Station:Central:Underground,2.0